"Plot_ID","Trial","Loc","Year","X.Can.Cover_159.V2","NDVI_159.V2","GNDVI_159.V2","SR_159.V2","NDRE1_159.V2","NDRE2_159.V2","TCARI_159.V2","SAVI_159.V2","NWI1_159.V2","NWI2_159.V2","MTVI_159.V2","ChlRE_159.V2","BLU_159.V2","GRN_159.V2","RED_159.V2","RE1_159.V2","RE2_159.V2","NIR_159.V2","X900_159.V2","X975_159.V2"
23,"Hard_F5_SP","Spillman",2021,86.4736842105263,0.313697551797199,0.283736455725225,1.92584884459406,0.199304586692194,0.0762569002410142,28.1811914972822,0.405237236852029,-0.0559713934672439,0.0809507719333667,0.0469215552717489,0.498762551216878,25.8170453355137,38.3967875272566,35.9514973449054,46.1174457341712,59.3173950209825,69.1835188390905,90.9803078663413,81.1901395155143
230,"Hard_F5_SP","Spillman",2021,93.7847397675594,0.354860309061378,0.323222101833607,2.11792797077826,0.208577975571859,0.081513022539323,36.6815593695221,0.497288701735228,-0.0575250976833829,0.0802676898354293,0.0666376333548376,0.528636149871262,28.3780298819876,41.9594381308399,39.0793017831508,53.9517416869231,69.9799954193672,82.4840696713657,108.632019843612,96.6495665467801
231,"Hard_F5_SP","Spillman",2021,93.9501779359431,0.334661504146705,0.305472551600586,2.01856084373652,0.208045313281435,0.0807183612161643,30.1787650773025,0.469678054170033,-0.0486037240135233,0.0923624816454643,0.0574969191990387,0.526342982851294,26.8273551950576,40.1276397482739,37.6109478489566,49.6425076663333,64.4212719335204,75.7939005645269,100.483464162742,91.0420290026821
232,"Hard_F5_SP","Spillman",2021,91.8260038240918,0.346814886288504,0.317048942075559,2.07868370067944,0.208427827714338,0.0810957059132693,34.5247154839914,0.475846672968215,-0.0593829371040969,0.0778965930019024,0.0621290175716697,0.528186072460636,27.7926294974869,41.1109906486159,38.4728817016367,52.1031576846261,67.6180443952717,79.6236658070433,104.749579230116,92.866864882087
233,"Hard_F5_SP","Spillman",2021,87.7272727272727,0.30539430604082,0.277877132059652,1.88732652153318,0.194025544047084,0.0748969588337773,29.5088962040877,0.400335220118873,-0.049492101170751,0.0835486807707056,0.0478724399299579,0.482290959886493,28.6556643147549,42.0991243512039,39.6629348102062,50.4801012723196,64.3461783624145,74.8121760446789,97.5749087596445,88.274700815322
234,"Hard_F5_SP","Spillman",2021,90.2618282039504,0.351116022867964,0.315971443976031,2.10087119103209,0.206441840970763,0.0808551031053472,37.7375269051105,0.473605376248298,-0.0632198035848929,0.0702459514596491,0.0616116469377184,0.521867412936068,28.6878242197414,41.9568522891059,38.7862099175192,53.3866834621105,69.0478906859884,81.3045924079253,106.137729839059,93.3037537364095
235,"Hard_F5_SP","Spillman",2021,91.302346985734,0.382289329145867,0.345165319503835,2.25537187189498,0.213341427265593,0.0844848770408863,43.9555883834465,0.521651258132424,-0.0675210723154183,0.0680746468761754,0.0731034114093892,0.543387472555774,27.8945606875589,41.7500771885483,38.3334527590939,55.9769747628846,72.8981399005061,86.4367614820457,113.349238818609,98.8053117626046
236,"Hard_F5_SP","Spillman",2021,90.9856364536899,0.364488146296989,0.327821205424853,2.17019579805253,0.215787823152961,0.0846751419673306,37.03134207192,0.495521387202364,-0.0666667232577498,0.0726296634268014,0.0622667868323961,0.551805313451489,27.386598143897,40.0492232959669,36.8470042307534,51.343602463901,67.2235596949698,79.7948349505228,105.396988556458,91.9737577878168
237,"Hard_F5_SP","Spillman",2021,92.8835489833641,0.319059901522019,0.288756351354417,1.95231211056083,0.190820395707577,0.0730135537959282,34.1001334147503,0.44286563634767,-0.0544526524208228,0.0744196359912731,0.0585990748393576,0.473143290180315,29.5797356492401,44.8146625419638,41.9470225927745,55.3893062511392,70.4392464635454,81.6335545367815,105.565911827643,94.5047392944215
238,"Hard_F5_SP","Spillman",2021,95.5710955710956,0.38128519764219,0.34318235848287,2.25426306693781,0.204518018724988,0.0794574895987253,44.9782141997527,0.544574786854697,-0.0627655462099565,0.071954645144634,0.0813614099797714,0.515712815995059,28.5022773726685,43.4409818299843,39.8251784729943,58.8160219517727,75.9550724010574,89.1366046173751,116.696509516846,102.76855604557
239,"Hard_F5_SP","Spillman",2021,89.0975908534096,0.338718934765799,0.308661888939094,2.03960573826687,0.195828675121571,0.0751720355091965,37.6370856721077,0.451011173717245,-0.0494470958871509,0.0831313960495174,0.0636980027717506,0.488079652951919,28.3239620581623,42.2684553639004,39.5394769360049,54.0200220426711,69.1123631732631,80.42214055347,104.84616092794,94.8022135855033
24,"Hard_F5_SP","Spillman",2021,78.7598334104581,0.284722358975624,0.260847670640102,1.80780679472632,0.192972682062145,0.0725434391888693,21.7370813400289,0.334916595266487,-0.0526095280304215,0.0872156437172529,0.0349708743526956,0.47933572459771,22.6271599872049,33.9791546126073,32.2790682325688,39.3486598040248,50.3228353196939,58.2604419944059,77.0430370924425,69.232666416966
240,"Hard_F5_SP","Spillman",2021,88.4178321678322,0.334935075340691,0.301924154601718,2.02155834652954,0.199447281059568,0.0766791943793672,34.7312497342651,0.442502681200379,-0.0540656874513415,0.0811565700317153,0.0574121721447286,0.499262265824877,27.5522569092584,40.715788238765,37.8427143579247,50.9041024392191,65.4209296884191,76.3593594411967,100.091480199956,89.6739966466926
241,"Hard_F5_SP","Spillman",2021,89.3683274021352,0.298820697978142,0.268742963840621,1.85995459085008,0.186704887298252,0.0711226111354218,29.4761324686535,0.399017427381633,-0.0512902793551313,0.078900856316825,0.0483794802606766,0.460052208843027,28.7486122703505,42.6582479616857,39.9632186340238,50.8911985146277,64.3963895454803,74.3019072219786,96.3751207646318,86.8845156832089
242,"Hard_F5_SP","Spillman",2021,77.8666666666667,0.262640115145337,0.237887661337559,1.72208353225293,0.188880565807849,0.0704754823351486,18.9602498805552,0.305500209176725,-0.0381743943345813,0.0971510906877174,0.025426264329795,0.467180646075173,24.9075467308366,36.4659126907609,34.6074894171691,40.521292676902,51.5910568267449,59.4881970452274,77.9530430865909,72.1187959546767
243,"Hard_F5_SP","Spillman",2021,86.080740117746,0.310049519520064,0.28035122259997,1.91277337102759,0.205582217179364,0.0790304943466854,26.5057666780712,0.398741194884401,-0.0514566374284183,0.0885346843213289,0.0410920242304254,0.519159432720823,27.3843516540361,39.3027508913131,36.8328432849535,46.2465600528101,59.9280911664427,70.2977448048022,93.0397322780722,83.7688657722462
