"Trial","Plot_ID","Loc","Year","X.Can.Cover_154","NDVI_154","GNDVI_154","SR_154","NDRE1_154","NDRE2_154","TCARI_154","SAVI_154","NWI1_154","NWI2_154","MTVI_154","ChlRE_154","BLU_154","GRN_154","RED_154","RE1_154","RE2_154","NIR_154","X900_154","X975_154","X.Can.Cover_168","NDVI_168","GNDVI_168","SR_168","NDRE1_168","NDRE2_168","TCARI_168","SAVI_168","NWI1_168","NWI2_168","MTVI_168","ChlRE_168","BLU_168","GRN_168","RED_168","RE1_168","RE2_168","NIR_168","X900_168","X975_168"
"AWY1",1,"Davenport",2021,98.10744811,0.244112368,0.227258664,1.662540851,0.170944709,0.068133019,16.7798578,0.357614048,-0.026253675,0.107638554,0.037130295,0.413791677,28.98228171,42.05536723,40.61007264,47.44515053,58.49830334,67.16853021,87.78073251,83.0700633,90.2662467792728,0.238662786025118,0.21616351177066,1.64791305194441,0.169445151913522,0.0822854180673736,15.3412084619803,0.321566190700069,-0.0178783010691072,0.132665190957743,0.0278742315667082,0.409779441940419,24.6470850502009,36.0847485854923,34.4327836351693,40.0875194915922,47.890171836997,56.6306745275566,76.4590434212546,73.4739770426546
"AWY1",2,"Davenport",2021,88.16815145,0.195482943,0.180392686,1.497007686,0.153885978,0.060690207,10.75377159,0.257425937,-0.015228385,0.110273519,0.016022363,0.364788621,29.28524327,42.27996071,41.00045611,44.76736448,54.10603839,61.21036458,78.65938682,76.10771745,81.657113079729,0.204526473797848,0.184714721141469,1.52847548564335,0.14596680766885,0.0728492004117525,14.8093422767165,0.24941482548673,-0.00891450560386758,0.12726969393531,0.0219743452947585,0.343387096192603,25.7699666812364,37.8097914574862,36.3053493319527,41.1809043998951,47.7825242761502,55.4344730231853,72.7058877674083,71.1929706794166
"AWY1",3,"Davenport",2021,65.32589548,0.169718074,0.16231212,1.415421853,0.158924427,0.062814913,2.717897005,0.165554734,-0.018377452,0.11299979,0.00109644,0.378755459,20.9276621,30.39322016,29.95778667,30.61914141,37.21571294,42.24670605,54.95763574,52.90057527,61.4344827586207,0.182874715694993,0.16635483782098,1.4577493247859,0.156802704223978,0.0767630792158026,6.48440309104109,0.167713360622778,-0.0129216222588391,0.130124536689595,0.00354866697506845,0.37315472135538,18.3227456647803,26.751775981478,25.8762814792726,27.372789052958,32.2019507817583,37.6273850315875,50.050261425292,48.6719013857814
"AWY1",4,"Davenport",2021,68.66112155,0.165435986,0.153916032,1.40596173,0.147923335,0.059158249,4.869298124,0.169680565,-0.01359489,0.107051331,0.002319595,0.348232484,24.4139489,35.37098845,34.57994435,35.82848173,42.88636961,48.33501979,61.53004217,59.78703064,64.258651174539,0.174722878977882,0.156272700064616,1.43317197259329,0.140476986162924,0.0703671792620425,9.41847129046923,0.167680648469214,-0.00404012045341601,0.129057034669467,0.00689096661803012,0.328111088180278,21.5493936146981,31.3385272753695,30.1960500508589,32.5145763982935,37.4758020281518,43.2157501260895,56.3583829013442,55.7858673071628
"AWY1",5,"Davenport",2021,61.54684096,0.162677107,0.154340485,1.394561747,0.149355929,0.060309334,3.732856182,0.149563842,-0.012071898,0.1086468,0.001874556,0.351988777,21.69182793,31.71505341,31.2075786,32.06741563,38.39620141,43.35014085,55.19340599,53.82506577,55.3912821820036,0.17379175075694,0.16088191733369,1.42961538294519,0.147957244817513,0.0742521349867575,7.0515093392653,0.14377249577623,-0.00543722196832868,0.129257758602954,0.0047856041912994,0.348589819655291,18.7066726153776,27.0376323670096,26.3615572532219,27.8747802438482,32.3404267104264,37.5621034130951,49.1356994601929,48.5167486071604
"AWY1",6,"Davenport",2021,98.25339617,0.258097298,0.232998926,1.707876981,0.170842893,0.070950583,21.80805606,0.378792801,-0.022755463,0.104337754,0.041456404,0.413042075,31.0873244,45.79180928,43.4440335,52.19094924,63.95310664,73.80125871,95.15621836,90.77973416,90.94682230869,0.243704717010871,0.211904601809968,1.66040966894814,0.16551148067579,0.0805242606652689,18.4631386683836,0.330905946727653,-0.0166004129779323,0.127062459007167,0.0284761954356756,0.39799210101706,26.5283285020949,38.7084173110675,36.206769086498,42.8809779578312,50.9784097734044,60.0376424768942,79.91008165571,77.0884926225828
"AWY1",7,"Davenport",2021,33.55500139,0.178336827,0.157383065,1.442527132,0.121684138,0.047905884,16.66852881,0.089418224,0.006783745,0.108873854,0.008884889,0.277536786,12.86074505,18.75999406,17.98448281,20.20253866,23.44254064,25.81623557,31.68411639,32.07636271,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0
"AWY1",8,"Davenport",2021,99.33811362,0.282719641,0.256991675,1.802184813,0.184654008,0.077982635,23.97401414,0.419509285,-0.034117401,0.095604482,0.047381556,0.454034612,30.81102266,44.68649634,42.29294579,52.14524131,64.81491497,75.85863247,98.33995714,91.68803044,90.8527131782946,0.263986879813817,0.233751081855945,1.73676195125969,0.176164901490959,0.0859987630483001,20.266525790626,0.358097140663638,-0.0282471195456587,0.11912983109951,0.0346312640622081,0.42917697919702,26.2241771729416,38.1403422471907,35.7754958123885,43.2449652916016,51.9739572715432,61.8482614436956,83.0171893313518,78.2471917146372
"AWY1",9,"Davenport",2021,90.07707129,0.225757474,0.204509016,1.603487125,0.163846439,0.068384501,15.59921888,0.303732922,-0.020488508,0.105710941,0.024377906,0.39344951,28.7667383,42.46290025,40.67381409,46.35139979,56.27282465,64.64987038,83.2105141,79.56768999,79.4403069284586,0.229057370377107,0.206768871269419,1.61273209950092,0.155711330163558,0.078737681769644,17.746955153317,0.271724921240151,-0.0132913541541697,0.129352266206686,0.0276637021175413,0.370432777774763,23.7670064504269,35.4810237446228,33.8891383451792,39.6612330202449,46.3649807085188,54.3912165940529,72.285210786901,70.1722880133333
"AWY1",10,"Davenport",2021,82.44252874,0.212830692,0.19617901,1.556172497,0.165560244,0.069186547,11.39033527,0.262034536,-0.022860363,0.106784267,0.016736399,0.397913306,26.14268626,37.94631058,36.68075199,40.43824762,49.19967828,56.58412714,73.37994973,69.96052712,67.5417661097852,0.195498086103875,0.177498960930087,1.49848473580352,0.157509604978771,0.0795390987393767,9.40578356769142,0.197129731011781,-0.0135970440569014,0.13304635588681,0.00886840670787624,0.375435619280688,20.1324284279831,29.4668301318808,28.4044112718039,30.8824281100475,36.1801647203671,42.5273246053517,56.9288784704556,55.2183328486701
