"Trial","Plot_ID","Loc","Year","X.Can.Cover_153","NDVI_153","GNDVI_153","SR_153","NDRE1_153","NDRE2_153","TCARI_153","SAVI_153","NWI1_153","NWI2_153","MTVI_153","ChlRE_153","BLU_153","GRN_153","RED_153","RE1_153","RE2_153","NIR_153","X900_153","X975_153","X.Can.Cover_155","NDVI_155","GNDVI_155","SR_155","NDRE1_155","NDRE2_155","TCARI_155","SAVI_155","NWI1_155","NWI2_155","MTVI_155","ChlRE_155","BLU_155","GRN_155","RED_155","RE1_155","RE2_155","NIR_155","X900_155","X975_155","X.Can.Cover_165","NDVI_165","GNDVI_165","SR_165","NDRE1_165","NDRE2_165","TCARI_165","SAVI_165","NWI1_165","NWI2_165","MTVI_165","ChlRE_165","BLU_165","GRN_165","RED_165","RE1_165","RE2_165","NIR_165","X900_165","X975_165"
"SWW_HiRain_Prel",11,"Kincaid",2021,98.8615303150649,0.383605676054685,0.334381236954523,2.26174557747436,0.214024846735182,0.0925163510064353,42.8579335283643,0.566680058543189,-0.101028431556463,0.0271657828502457,0.0730101009315623,0.545696998461045,31.0426145876325,44.5599662420001,39.8555843989893,57.9756101096829,74.3416581096717,89.5395622792945,115.739995983389,94.4045800341247,99.5645073489385,0.423601702763034,0.386441125051471,2.49672867783572,0.202380791531964,0.088317602986605,58.3704391858701,0.630502747918304,-0.0654380099099531,-0.0226038575877267,0.109577426160639,0.508898654130532,32.5353914105949,46.6827079091735,42.812500177783,69.9543894338278,88.2981677182503,105.425178760729,114.857936705309,100.706509992401,93.2697403285639,0.336447160223968,0.296126878301896,2.02996525999616,0.189987342095801,0.0775474575006193,38.5680579763227,0.468932316433328,-0.0351091626711109,0.104049338710923,0.0636614525618587,0.470249123662029,30.7059543389468,44.7415092541304,40.9331481058625,56.14001530449,70.6355884010798,82.5897259857015,109.129419721385,101.615371736102
"SWW_HiRain_Prel",12,"Kincaid",2021,91.5070564516129,0.34915714888747,0.304279512202893,2.08940733656743,0.213672902501231,0.0916391039506858,33.4599105304909,0.477302561378569,-0.110695385947941,0.0206535426680603,0.0519100196486728,0.54509842914728,28.7391858137344,40.6183853648873,36.813242467665,49.4701494370135,63.4595142977904,76.2585038776942,99.136961231176,79.3561626295577,95.2529182879377,0.385010742397991,0.35118995382249,2.28012579260608,0.194535002939327,0.0846418187392167,51.2371717768915,0.548204617576502,-0.0682609646146699,-0.0288971758682351,0.0919573537376643,0.485299455446338,32.6821515498113,46.2998451473824,42.9493925224451,65.030024483613,81.3024990108731,96.3325766344907,104.14853242054,90.861018130002,89.8484848484848,0.286942160346333,0.251477837523639,1.8155813722265,0.1822280448061,0.0741452826784226,28.9510419327674,0.385242751251669,-0.0367236275739379,0.0984409561444751,0.0416381412303612,0.447004279709306,31.7146621908697,45.5124308181169,42.2696302799787,52.8323087367266,65.7223059547119,76.2743225231131,99.8383632506085,92.7647714267681
"SWW_HiRain_Prel",13,"Kincaid",2021,90.2439024390244,0.371284854472171,0.320681536539439,2.19491704038695,0.202900926216054,0.0862419087482414,43.6576329285706,0.500685439011405,-0.0899399940086429,0.0346298817474646,0.0664175904463354,0.509804046192042,28.8264571042598,41.6387082895683,37.1267844368837,53.9165215413798,68.4740470816612,81.4924834270027,104.473633585147,87.11154116239,94.8459230979002,0.411535404939772,0.372522088474509,2.42063937267235,0.190925198870487,0.0814352976306321,59.2996427969906,0.583515109756494,-0.04893056344341,-0.00702194906417543,0.104836565354146,0.472705860338329,31.2102359377302,45.1032224235398,41.1435393103979,67.3313310665303,84.2246515264281,99.2700717589543,107.894189421706,97.6716720316359,93.7300743889479,0.321399366655307,0.28286355696452,1.95971874202065,0.176485431371737,0.0714766069589398,40.5325120962847,0.450249372808426,-0.021809364887955,0.108462457298076,0.0656642551882165,0.42970713267753,32.9070139211853,48.2247114347304,44.3539981078651,60.4299224581992,74.7958724250013,86.3634243998303,112.055618079657,107.221686379171
"SWW_HiRain_Prel",14,"Kincaid",2021,95.2643171806167,0.390124876956816,0.341101344936679,2.30042959044792,0.21122438715192,0.0896410475941505,42.355661028877,0.555220202279717,-0.096017590135989,0.0361153687590902,0.07556669528678,0.536636146478847,26.7310160530183,40.1478663715292,35.8962573884085,53.4046346118333,68.4972774844819,82.0488890380658,106.852193644642,88.006385237074,96.9121813031162,0.408708032981373,0.375730500872503,2.40868955244581,0.197449346570317,0.0839303771864672,53.2073579259999,0.592012558060797,-0.0536059809028288,-0.0042381043638312,0.104318668342386,0.493266268750217,29.0810288622406,43.3773299005238,40.1836451654198,64.1828163060635,80.9357330771102,95.8306330735031,105.730014071662,94.8728218619788,94.9255377826806,0.312510625634828,0.280526553959313,1.92462363392142,0.175067740699167,0.0700907595813848,36.596477350422,0.443315605959848,-0.0197010258978738,0.115319876792672,0.0658669141300628,0.425539476243057,31.3308916065329,46.8644078902953,43.7530033671794,58.5653372442288,72.5045545364198,83.5173902947554,109.452449118303,105.122575678291
"SWW_HiRain_Prel",15,"Kincaid",2021,92.879746835443,0.340026255364255,0.294431959765618,2.04697027374167,0.201904489397735,0.0842449549353007,33.4014210780768,0.471726392317709,-0.0853622247032733,0.0470829824219361,0.0546201704811022,0.507094462655519,27.3312541620667,40.2609614744622,36.441216381419,49.330097312925,62.6959830557914,74.2788186024946,96.6544913164912,81.3832253206037,96.6359196961476,0.361944670534722,0.330517574992386,2.15467983309813,0.186397711454358,0.0779735798992106,44.9176738998586,0.522704626082626,-0.0413812207028925,0.008726979602244,0.087682340154267,0.459427075071047,30.5028871282628,44.7075496334135,41.7137625693482,61.106889930248,76.1854101258313,89.1402311753322,98.3841952377548,90.4781395416074,90.9090909090909,0.281069936736515,0.248624743189094,1.79246908567424,0.166145548639433,0.0655888352196776,30.9639396088773,0.381802447094707,-0.0142476369970596,0.118338398126428,0.05104871066193,0.399585726983495,30.4451825759231,45.3975770388712,42.371994331055,54.0129349157912,66.2464084000789,75.6229363136804,98.5818123359382,95.7497748160594
"SWW_HiRain_Prel",16,"Kincaid",2021,95.6565402962591,0.414969698524052,0.364213574349649,2.4453360044841,0.223574838935772,0.0955282059715104,45.2632027315242,0.593056151207567,-0.106075186865768,0.0280192462110385,0.0798148567579509,0.577249328872831,27.2680977415257,39.5736373001929,35.1420335299629,54.245445137987,70.5609852528471,85.5516017130101,111.871889034548,90.2029630572818,97.6750193748385,0.44603740524463,0.406892918931824,2.64961254301243,0.212403662156781,0.0912635936844541,57.8822394349553,0.651208210646219,-0.0649292688393761,-0.0107830169747787,0.110558230545269,0.540792874949764,28.9872964393926,42.27678873978,38.4711894109458,65.4276232965857,83.886934204779,100.850803074886,112.34581911879,98.454529187762,95.4728370221328,0.366714201816702,0.328175819669272,2.18483705811167,0.189499777815463,0.0775415266384979,46.7845533841191,0.523282819394821,-0.0283404333278432,0.106484041239046,0.0829836822048684,0.469240089237815,31.1139908425936,45.9450605093726,42.1536569218987,61.8883611936829,77.7759631733405,90.9349832389926,119.13551036906,112.467302909853
"SWW_HiRain_Prel",17,"Kincaid",2021,97.5508077123502,0.394010757967064,0.343286436557559,2.32218862226999,0.217065316119574,0.0924788332036067,43.9060110095377,0.57429961789739,-0.10102451428053,0.0304208980255173,0.0745332478443606,0.555360820937783,29.8113936920966,42.4682477279111,37.7816640656497,56.3515092451542,72.751681257448,87.6860383518375,113.944146086544,92.8393124660416,98.3378016085791,0.433420980281352,0.393831484075368,2.55641395692164,0.207428717142077,0.0887606573645467,57.773557218527,0.637105986303888,-0.0618804536178142,-0.00804381021782089,0.10835881785735,0.524364000237488,30.523883812138,43.934210740303,39.9674257864448,66.6731747456444,85.0206565871428,101.686759327878,113.150240726116,99.7929343755214,97.911227154047,0.364346413293944,0.325473593927768,2.16434610146777,0.189565097787963,0.0769731963399443,46.0703674967171,0.533157364388057,-0.0318026279887972,0.104842454788996,0.0838807271363746,0.468938534815632,31.809341750685,46.5273899478353,42.6282396442796,62.4524372486414,78.5756274597287,91.7516499598061,120.528526813333,113.077950205392
"SWW_HiRain_Prel",18,"Kincaid",2021,97.6351351351351,0.411581109465922,0.3592462426471,2.41636654343428,0.21860425233755,0.0936469591055114,46.773442840615,0.600426030837462,-0.0991010765545644,0.032702076975582,0.0824399664700123,0.560341583014621,28.4316155068074,41.6060575188588,36.8184012174164,56.860297139772,73.4831331596414,88.7510804338099,115.485231521815,94.5078145233876,98.4081041968162,0.431701603833791,0.392799924904336,2.54324528406324,0.204987002232651,0.0881401763431093,58.9209425841615,0.635071964719022,-0.0571443275066485,-0.00274353887682471,0.109667994757943,0.516498714697375,30.8283891844391,44.9341678054526,40.9518637695,68.1943833601107,86.6278692415155,103.454173517298,115.280191516916,102.674588841696,97.576099210823,0.350857532157081,0.31151977494169,2.09584474985001,0.186231846937878,0.075997841183045,44.5591190437286,0.511682093970177,-0.0276144139074977,0.10877258172277,0.0780780658439645,0.458633253546655,32.7494128790596,47.8569329733684,43.8380615188697,62.6620069043196,78.4714568861724,91.4750712105831,120.150357576385,113.637187091491
"SWW_HiRain_Prel",19,"Kincaid",2021,94.5723216822961,0.381869554253516,0.329694018042834,2.25256535915767,0.203856915265087,0.0867327015111756,45.3521159935931,0.539636041521767,-0.0917573596332406,0.0362011969437317,0.0737438537312586,0.512981047943403,29.3410910138878,42.6516193851956,37.8663360771058,56.3640767488246,71.6390461169641,85.3513601911522,110.112095570081,91.4214598823409,96.1718293395675,0.413806220480089,0.374134244126519,2.43712218157123,0.194847565096625,0.0823350171958229,57.5979673325735,0.594894307836824,-0.0508835242059009,0.00283249359431891,0.104421596216582,0.484910127959847,30.6413695356049,44.6789403584877,40.6901824332194,66.4357287869207,83.6344905523827,98.754241327297,109.874297705386,99.0600411730238,98.0091012514221,0.335235669373858,0.298657615141087,2.02545583882518,0.177996798610597,0.0715359992391466,42.2422124377012,0.491040428721908,-0.0222186959582361,0.110632791312881,0.0767519786177305,0.434248759717119,32.8423088770013,48.3880907202237,44.6778257980823,62.5574857738978,77.6864625754065,89.7458719343765,117.021682967913,111.863651968759
"SWW_HiRain_Prel",20,"Kincaid",2021,92.7410313901345,0.357569759566551,0.311148009691262,2.12697414334577,0.214019116852367,0.0904625864444589,35.0674679903454,0.495391420003237,-0.0988316834001375,0.0364597714012519,0.0560918393292379,0.545530690923155,28.0665455364524,40.3226668104386,36.3385119391176,49.8713988483195,64.2583486679821,77.10769045683,101.046457978178,82.7475571486618,94.5501730103806,0.373593950751607,0.340223460454607,2.2104060933583,0.201328627438744,0.0846977970934362,44.8070820006728,0.527932737717296,-0.0514991766100907,0.00838624554924369,0.0811154518926987,0.505196728191209,30.9264451885399,43.9981315892481,40.7924168606011,59.5499297385339,75.600736830194,89.6640600171808,101.023309362563,91.0054422102791,95.3370786516854,0.319205340814098,0.28231335246282,1.95182029986165,0.181390530986708,0.0736237192075087,38.7294022869467,0.454852356252936,-0.022217320284828,0.109868264007426,0.0630073982585228,0.444304371756957,34.6706426508211,49.3155637035905,45.5352553755129,61.0907649177209,76.0757442437394,88.2305670364418,114.949504979529,109.872349654831
