"Trial","Plot_ID","Loc","Year","X.Can.Cover_145","NDVI_145","GNDVI_145","SR_145","NDRE1_145","NDRE2_145","TCARI_145","SAVI_145","NWI1_145","NWI2_145","MTVI_145","ChlRE_145","BLU_145","GRN_145","RED_145","RE1_145","RE2_145","NIR_145","X900_145","X975_145","X.Can.Cover_146","NDVI_146","GNDVI_146","SR_146","NDRE1_146","NDRE2_146","TCARI_146","SAVI_146","NWI1_146","NWI2_146","MTVI_146","ChlRE_146","BLU_146","GRN_146","RED_146","RE1_146","RE2_146","NIR_146","X900_146","X975_146"
"AHR1",1,"Kahlotus",2021,86.3833477883781,0.39436313924236,0.370959868490173,2.36654211068075,0.196380536642719,0.0877425045838681,56.2289516728315,0.509392100963627,-0.0804992894279008,-0.0129031337135134,0.0902107663606787,0.491674851223771,29.1368062132273,42.9187007244407,40.6053048665199,63.7496121077181,79.79733426232,95.5318903217949,109.026231696173,92.2954863455709,70.8844133099825,0.233066420653042,0.206308185593372,1.62152980600885,0.176750012668589,0.0771851043179933,16.0726347907879,0.24681926625798,-0.0587849834663485,0.115893092803037,0.0136953728315311,0.431059103678619,24.6024542993225,35.547015868507,33.6533041756318,38.0829544436978,46.6449691188401,54.571586335776,77.3460721787239,68.5068297072883
"AHR1",2,"Kahlotus",2021,77.9644650444187,0.366465259574996,0.350572817161801,2.2140139223169,0.174182572652091,0.0779266661328557,58.2081585764612,0.427295908329297,-0.0620592357075349,-0.00256467332467742,0.0851800510881719,0.424612683927243,27.6454142929547,42.0196340914407,40.5012195071013,62.1821732867169,75.8373248378391,89.0088954241899,100.015260645594,87.8868501067643,65.7192914152229,0.220602723469194,0.200432822345634,1.5784894784795,0.155758019025108,0.0693400703926167,19.6065632273327,0.216679340814691,-0.0581380222509868,0.109113052634899,0.0204018036647328,0.37081598340871,25.0261831291019,36.9513398066836,35.5034833315632,40.7177504400738,48.4845924801297,55.7941525267455,77.9409262289698,69.1873729087666
"AHR1",3,"Kahlotus",2021,73.3592161212793,0.395415357368146,0.37363261306694,2.38982787156463,0.198399304400402,0.0878313947280772,52.6291045210979,0.433679383116745,-0.0690006769121617,-0.00143800679385798,0.0762595052741505,0.498217393021243,22.5698955777737,34.5753876679778,32.8435788845433,51.436841828233,64.6226923722978,77.3611530701083,88.337318039528,76.5022992702305,60.5992509363296,0.226573356732613,0.204789934855879,1.60011409047484,0.175440424047065,0.0775651241453009,13.8214913282443,0.205102528976778,-0.0791156906814457,0.108299832173839,0.011761813635498,0.427558390537558,20.2572915168032,30.074080537963,28.8087086286576,32.101726265071,39.1090526145192,45.7347451807973,66.5043131631375,56.584264491168
"AHR1",4,"Kahlotus",2021,81.9603126879134,0.412749372305069,0.385747542554935,2.49168399890177,0.19603443347419,0.0872608322586602,60.1696003322603,0.505845746950827,-0.0588747105499449,0.00656175898754122,0.0917998208574888,0.490968794256532,26.3486787404577,39.7358439368899,37.2212778646134,61.2946959990974,76.8020441399148,91.9234480743572,104.423246456406,92.2281458233092,69.3541835905768,0.250864012155035,0.22058813598936,1.6889191631402,0.175796101809692,0.0778635110761926,20.6562586776932,0.25993334451598,-0.0890578524688428,0.107741875549642,0.0204188144695227,0.428453258684516,23.4477697548581,34.4173590400975,32.3378557270864,38.0467049822887,46.4515204799949,54.4230780884493,80.7012282350471,67.2125919764079
"AHR1",5,"Kahlotus",2021,79.2298937784522,0.411931028191761,0.386694760434668,2.50461091172779,0.201419609342562,0.0892891406417446,55.3298344521441,0.487949684486933,-0.0564839849840321,0.0112256689274445,0.0858101374367778,0.508260332475004,23.9014036782869,36.4642424598946,34.3130844115855,55.8102718653854,70.4022411076431,84.6053260758506,96.5218355019952,85.619275908538,65.9754948162111,0.24215537820358,0.215697575363185,1.65727387529298,0.180241632641483,0.0790745480244593,16.2672604270566,0.238628436311085,-0.104598789578973,0.103961080101073,0.0152013448611152,0.441964589299482,21.1116064125285,31.3329947949557,29.7033451362886,33.9429051836198,41.6528368685564,48.8799831610582,74.228298266601,59.9021799173022
"AHR1",6,"Kahlotus",2021,64.4008794430194,0.412591674298927,0.386970838004978,2.50331007734894,0.204272825194169,0.0912701276891065,58.6577065663821,0.397340757964052,-0.0452043012989737,0.0199383081922859,0.0686461846420429,0.517205236565509,21.3076356631297,31.49543663089,29.5896411598718,47.9998881185911,60.7273859330801,73.3050992165475,83.2070386426261,75.4635362614199,53.8347260909935,0.245206213701479,0.215331607437554,1.66817576943461,0.185343556132942,0.0827397417577465,16.7558919372667,0.197208550487709,-0.110350418913399,0.104603643624871,0.0103234284494141,0.457567290193057,18.6719274937113,27.0360924687764,25.455328825808,28.9562459582934,35.6458963966536,42.1649294537536,64.8075807981323,51.6813535973328
"AHR1",7,"Kahlotus",2021,82.658622031919,0.431308489608673,0.400687595864256,2.63035965078972,0.202778002636834,0.0903880935023136,61.8671910703179,0.53308847359244,-0.0470540727461336,0.0198349461713766,0.0946447745316945,0.512341605398908,25.893608999364,38.7193719122104,35.8854861698896,61.3912583623824,77.6149929197698,93.5745757136279,106.460174167548,96.1261071649395,72.9846637829336,0.273135739670216,0.237095012801826,1.77849745989678,0.184481713022667,0.0822286042128683,23.5319288273058,0.297787460689057,-0.109602031834801,0.107576690027075,0.0245010095160046,0.454510353492665,23.5251335012651,34.4706597263431,31.9805072278479,38.899197655044,47.907661218261,56.6672598748795,87.5068087514622,69.7790697184985
"AHR1",8,"Kahlotus",2021,83.8395415472779,0.440674374519376,0.405831272769463,2.70048237935091,0.202750027332391,0.0906274811613846,65.0373596639303,0.55247643961583,-0.0493614105438998,0.0173117229028813,0.0981523787452621,0.512788486434732,26.7349162229686,39.7868071791878,36.4878134910402,63.8593743573955,80.716750796211,97.4053894984888,110.793763836741,99.55229629976,78.1814686658977,0.298074383918005,0.256353271751147,1.89117993139213,0.184369127338111,0.0825847268254479,30.4393049517764,0.34817940619174,-0.0973593925263946,0.109986368733178,0.0353900920717105,0.455222479549393,25.9048518834302,37.6882691717989,34.5398942551881,44.3925382486941,54.6988818299408,64.8692401274362,98.0822416585998,80.0725668917146
"AHR1",9,"Kahlotus",2021,90.568271507498,0.421902746759307,0.391652865413535,2.55912569152913,0.198657055678228,0.0888232869361908,62.9708951389352,0.571400719048558,-0.0594971108597395,0.00965022224362406,0.10246476953137,0.49951451409464,29.9965048247957,44.2751108823439,41.1055767473381,69.1579397122709,86.9233836089874,104.454426387688,119.282820106484,105.05143721492,80.8676529388245,0.268221414250852,0.232996673055968,1.7603079570832,0.180036204159048,0.0805015238079414,24.4354421199178,0.324065530561601,-0.0867103330698861,0.113369699048657,0.0276008300283532,0.441925562441356,27.6430579043257,40.0928387908088,37.2927196829888,45.2647967077773,55.4364743842973,65.3523881412216,97.2727313416482,81.2551313164665
"AHR1",10,"Kahlotus",2021,82.8795379537954,0.400082590028005,0.373166045205148,2.42321091027143,0.199132706720625,0.0887890020686138,56.5649901132963,0.495814162728423,-0.0704704405800184,-0.00298315958842156,0.0853326764683754,0.501000233219126,27.760497038312,40.579336299785,38.0290484310681,60.5512528788958,76.2028573410699,91.5745323960393,104.346605596335,89.8611624511119,68.9920866305706,0.246389729819889,0.214495065101815,1.67304251971685,0.181894938793281,0.0810016473376663,18.2235260811945,0.253955503670047,-0.079148719180961,0.10885427843819,0.0143321328408064,0.446909126894428,23.7612062304561,34.1811979638513,32.0248710016282,36.9291604015846,45.36616142345,53.5275086426788,77.9037935257761,66.1139603529802
