"Plot_ID","Trial","Loc","Year","%Can.Cover_159-V2","NDVI_159-V2","GNDVI_159-V2","SR_159-V2","NDRE1_159-V2","NDRE2_159-V2","TCARI_159-V2","SAVI_159-V2","NWI1_159-V2","NWI2_159-V2","MTVI_159-V2","ChlRE_159-V2","BLU_159-V2","GRN_159-V2","RED_159-V2","RE1_159-V2","RE2_159-V2","NIR_159-V2","900_159-V2","975_159-V2"
"293","SWW_F5_SP","Spillman",2021,89.8999090081893,0.302836652028072,0.274844516304831,1.88332819086958,0.184216620668551,0.0698031013129751,30.5350567146959,0.406772784582172,-0.0434674539193201,0.0871248464254785,0.0533468355638703,0.453114210547182,27.8560803818857,42.1092094011332,39.6316875647828,51.2181520016033,64.6586102298386,74.4409747610315,96.6238727504083,88.4156017643474
"294","SWW_F5_SP","Spillman",2021,90.5627705627706,0.360615994963415,0.325239875303637,2.14158164278646,0.2110776628364,0.0829135034667517,35.6712818843947,0.487888942025523,-0.0553036706945088,0.0835980624735048,0.0639515984364283,0.536224925155005,25.6287946519668,38.3645735397102,35.4217537577666,49.3112399108362,64.1366277647497,75.8162465172652,100.077236553335,89.4277175560397
"295","SWW_F5_SP","Spillman",2021,89.6939693969397,0.335389634482553,0.301961351153574,2.02269277117038,0.196611764810145,0.0754158838644099,34.9225064131128,0.449461535725955,-0.0561696954688096,0.0789892492979186,0.0601579673584925,0.490694429839808,26.6762666546338,40.4564574662848,37.5623369750717,50.9221356880083,65.2064435803179,75.9184694576392,99.4551014084859,88.7460583796058
"296","SWW_F5_SP","Spillman",2021,91.0357640501626,0.347857792294175,0.309259265411486,2.07957932903042,0.195164049124459,0.0747929232656141,39.0896748071872,0.473187917960167,-0.0597751533718921,0.0718859959892654,0.0658959224346333,0.485659664515042,27.8213271154743,41.761479155178,38.3002789874132,53.5478613492302,68.4586099382274,79.581135209819,103.591749859305,91.779704533752
"297","SWW_F5_SP","Spillman",2021,91.4961346066394,0.321850955931143,0.291051039749373,1.96238319297993,0.200525550032689,0.077475709964239,30.602824424624,0.439972499302881,-0.0528299251663712,0.0842034274449275,0.0529077503403646,0.502994520293989,28.2378461540785,41.5487929469812,38.8291236107902,50.5878414084087,65.0773144514054,76.1027988054322,100.065035202662,89.8532817446121
"298","SWW_F5_SP","Spillman",2021,90.0044424700133,0.371943823826558,0.333720804928767,2.20219728392355,0.209532251648019,0.0815899084106658,39.5865482730793,0.500174572786101,-0.0639726668178373,0.0730247216187001,0.0686531313731439,0.531070954727993,25.9663451120079,38.818422412033,35.5749017161261,51.0798816218697,66.3834080755357,78.2506252735006,102.947307976673,90.4277846599865
"299","SWW_F5_SP","Spillman",2021,91.804788213628,0.317558480532022,0.287807837549588,1.94329152017164,0.202497378215354,0.0769269478019331,26.9562525705016,0.435433584232852,-0.0577577742739274,0.0831144979424228,0.0500473770399167,0.508998346646905,26.0916106576223,38.910194567962,36.4607617979237,46.8002069861781,60.5026196712093,70.6578109127664,93.6089760922412,83.2730697326774
"3","SWW_F5_SP","Spillman",2021,47.2346119536128,0.215309048095276,0.199668275904221,1.55237976514473,0.172180782192685,0.0665190179612401,10.8282146257515,0.151883221730489,-0.0246727017818341,0.112440045503053,0.00911154082963223,0.416833942684262,14.5987502676425,21.7923894505799,21.100087058832,23.103332959694,28.6323025789384,32.7300286817098,43.0622535290164,40.9709676852945
"30","SWW_F5_SP","Spillman",2021,85.5745721271394,0.3183174867286,0.289714523255135,1.94707639721107,0.204675625006434,0.0793040478053638,27.9041985909372,0.406932724452849,-0.0490270501744704,0.0951777188676985,0.0462518986048965,0.515913111511741,25.2973682243685,37.7335134644305,35.4355052165799,45.4320595437663,58.7345182800251,68.9424652036762,92.0006065888571,83.2318331455042
"300","SWW_F5_SP","Spillman",2021,93.8814531548757,0.382204864410121,0.342936652980035,2.25829065833925,0.214472921960142,0.0842799982626398,39.9598812753896,0.536086537852718,-0.067087452507192,0.0715445330986689,0.073214561136951,0.547189691991301,26.4737422640331,39.3680192029371,35.9591216690967,52.3715233963108,68.4259432125652,81.1319464485924,107.043899649754,93.3935878596705
"301","SWW_F5_SP","Spillman",2021,92.7358490566038,0.334418735458176,0.303890764317639,2.01884737377897,0.208640948218459,0.0809973689060981,29.4783285612554,0.463231865138986,-0.0571316452879973,0.0841676639822444,0.0554959478547184,0.528513427693789,26.2117667759895,38.8625179062803,36.3118821882996,47.8729902198434,62.1885333983527,73.2232680707948,97.1305506287936,86.4984525300719
"302","SWW_F5_SP","Spillman",2021,95.4236520163117,0.360122270154679,0.326472855444082,2.14359308186768,0.20837950811493,0.0812922496496298,36.6960493066,0.513416544958292,-0.0588495861245328,0.0772442060733858,0.0696777701235956,0.527468119160148,27.4827483347771,41.1612532686256,38.1534234802556,53.3385062497292,69.2096731745938,81.5527813950028,107.050612210084,95.0010698267883
"303","SWW_F5_SP","Spillman",2021,93.4993084370678,0.318756563418736,0.288966083396986,1.95108640439855,0.195552293862821,0.0743294360103943,29.5939466981051,0.445192888398969,-0.0467183219715945,0.0906209246108983,0.0559555736256247,0.487526358045144,26.8827271167091,40.428510141374,37.8666248879978,49.5738928763785,63.5041914359494,73.7907353459223,97.0900545010012,88.2879846089159
"304","SWW_F5_SP","Spillman",2021,93.8121047877145,0.367423516935778,0.334484517094583,2.17767297640584,0.208810203656035,0.0817867174640141,39.0360086282882,0.515032577649316,-0.0527650535432208,0.0856889776718125,0.0725388591188353,0.528930307575828,27.7615738117603,40.9482153383335,37.9879294516538,53.9959428548001,70.0645304044581,82.6317359507155,109.044266828767,97.9629139251668
"305","SWW_F5_SP","Spillman",2021,95.856102003643,0.361041955389108,0.329824950298468,2.14676536750311,0.204692397666583,0.0797508966155956,37.9149706304209,0.517075105876244,-0.0498398695807001,0.0881659610808057,0.0743558538739042,0.516222760920908,27.3775811115505,41.3157962869283,38.4934679574129,54.3961489145859,70.2499098869473,82.5230251498085,108.73386409046,98.2630192735071
"306","SWW_F5_SP","Spillman",2021,96.3341067285383,0.358046469467073,0.328055302469004,2.12872378184997,0.209004373392925,0.0818051050805839,35.3844215850898,0.515296470920806,-0.0560814450993747,0.0848876286355889,0.0710142965878418,0.529559761437857,27.2745107563732,40.7267915992394,38.056881297587,52.8636297507015,68.6099893865588,80.9147819950005,107.29244993523,95.7756947110764
