Plot_ID,Trial,Loc,Year,%.Can.Cover_146,NDVI_146,GNDVI_146,SR_146,NDRE1_146,NDRE2_146,TCARI_146,SAVI_146,NWI1_146,NWI2_146,MTVI_146,ChlRE_146,BLU_146,GRN_146,RED_146,RE1_146,RE2_146,NIR_146,X900_146,X975_146
101,USDA,Kahlotus,2021,31.97918751,0.272686254,0.243419487,1.767193595,0.170840375,0.075967624,28.09745743,0.304658179,-0.117286244,0.117593542,0.036377878,0.413722684,26.50288516,38.41270946,36.14421483,44.80806656,54.33455521,63.35312941,101.4960136,80.00964091
102,USDA,Kahlotus,2021,34.67076214,0.258436008,0.230348426,1.712765848,0.165739644,0.073712293,25.4646335,0.243975964,-0.113104076,0.117683549,0.027657678,0.398670458,21.83207842,32.02646982,30.226765,36.82903352,44.39561478,51.55200402,81.84336634,65.0245327
103,USDA,Kahlotus,2021,28.75512486,0.302520462,0.269411803,1.889529005,0.170568831,0.076981794,35.72371579,0.344804602,-0.118969351,0.114342254,0.049642752,0.412609821,25.390671,37.86960939,35.29375133,46.8938837,56.73240866,66.30920502,105.9532505,83.20914857
104,USDA,Kahlotus,2021,27.47252747,0.304787485,0.267845206,1.906299112,0.182363385,0.081940103,32.08955163,0.37524441,-0.119644092,0.117380697,0.045390001,0.448137252,27.11790402,39.11431566,36.16327523,47.26136987,58.04674631,68.62569779,110.2994633,86.27096827
105,USDA,Kahlotus,2021,36.82714514,0.255660583,0.225211198,1.702887782,0.169718306,0.07622923,23.80683926,0.130071177,-0.113755085,0.104269875,0.01273959,0.410480858,11.93037076,17.35814774,16.31389994,19.58637952,23.67500916,27.63351792,42.85112964,33.93563057
106,USDA,Kahlotus,2021,48.19897084,0.274215523,0.235140496,1.781965398,0.169358944,0.07546201,28.99712262,0.126777427,-0.109991545,0.104871823,0.013469875,0.409572495,10.84425472,15.56823532,14.36507019,18.02888046,21.79889976,25.41297169,39.07394834,31.134163
107,USDA,Kahlotus,2021,69.12751678,0.247628668,0.221838102,1.669348933,0.157723092,0.071257987,26.30988405,0.229085382,-0.107025253,0.104363482,0.027477804,0.3756857,23.02647454,33.47248195,31.73361455,38.40869257,45.77729497,52.88777279,80.85484433,65.00428811
108,USDA,Kahlotus,2021,74.76570635,0.248196326,0.21780929,1.674027164,0.157183594,0.069953274,25.60677514,0.212471917,-0.106005725,0.10940494,0.024029225,0.373998167,20.36342752,29.82402124,28.0162294,33.96554194,40.5243174,46.67603236,71.93107708,57.96948655
109,USDA,Kahlotus,2021,63.1813773,0.260934524,0.230830662,1.720504321,0.163864182,0.072959871,26.78332283,0.275659566,-0.112703024,0.107159914,0.032268237,0.393142751,24.94628578,36.21548843,34.01053499,41.74533529,50.21672919,58.1966862,90.556876,72.01378361
110,USDA,Kahlotus,2021,76.27151421,0.269709291,0.237128507,1.761121388,0.164223405,0.073457174,29.86720634,0.21839096,-0.103840019,0.10849237,0.026512313,0.394636224,19.17561644,28.09043797,26.25022891,32.95130389,39.63319699,46.02828853,70.57014843,56.98641947
